country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","12-04-2026 20:00:00",28.732820,77.170633,PM2.5,30,423,147
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","12-04-2026 20:00:00",28.732820,77.170633,NH3,10,17,15
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","12-04-2026 20:00:00",28.580280,77.233829,SO2,6,23,13
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","12-04-2026 20:00:00",28.5918245,77.2273074,PM10,91,218,128
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","12-04-2026 20:00:00",28.611281,77.237738,NO2,21,126,65
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","12-04-2026 20:00:00",28.611281,77.237738,CO,12,111,55
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","12-04-2026 20:00:00",28.636429,77.201067,OZONE,4,46,42
India,Delhi,Delhi,"Mundka, Delhi - DPCC","12-04-2026 20:00:00",28.684678,77.076574,PM10,96,318,185
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","12-04-2026 20:00:00","28.594004 ","76.909423 ",CO,18,71,21
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","12-04-2026 20:00:00","28.615828 ","77.271992 ",PM10,74,240,144
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","12-04-2026 20:00:00","28.615828 ","77.271992 ",NH3,2,7,4
India,Delhi,Delhi,"DTU, Delhi - CPCB","12-04-2026 20:00:00",28.7500499,77.1112615,PM10,67,209,114
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","12-04-2026 20:00:00",28.5710274,77.0719006,PM10,111,432,184
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","12-04-2026 20:00:00",28.5627763,77.1180053,PM2.5,29,345,104
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","12-04-2026 20:00:00",28.5512005,77.2735737,OZONE,20,70,56
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","12-04-2026 20:00:00","28.594169 ","77.125100 ",PM10,68,179,129
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","12-04-2026 20:00:00",28.5512005,77.2735737,PM10,87,247,140
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","12-04-2026 20:00:00",28.5512005,77.2735737,CO,38,110,50
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","12-04-2026 20:00:00",28.6811736,77.3025234,SO2,6,39,19
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","12-04-2026 20:00:00",28.542460,77.191651,CO,63,106,67
